campaign_id,audience_segment,creative_size_px,user_id,creative_messaging,app_url,exchange,device_make,impressions,viewable_impressions,measurable_impressions,clicks,total_conversions,gross_cost_USD
PA86A,Lotame - Offline CPG Purchasers - Product Segment,300x250,MKYNC9675E,Subscribe Today - 10% Discount,mail.aol.com,Google Ad Manager,Smartphone,92806,67534,85013,212,11," $1,579.38 "
LL46A,Lotame - Offline CPG Purchasers - Product Segment - Home Supplies,300x250,CNFXR5394I,Sign up Today - 10% Off,ebay.com,PubMatic,Smartphone,13326,3568,11388,98,2," $1,442.03 "
MN16C,Lotame - Online Shoppers - Online Shoppers,300x250,XAGNC8410N,Sign up Today - 10% Off,sciencealert.com,BidSwitch,Smartphone,13347,8357,11461,80,10," $1,543.66 "
ES56X,Lotame - Personal Finance - Estate Planning,320x50,ZJYWR9031U,Subscribe Today - 10% Discount,businessinsider.com,Google Ad Manager,Smartphone,59782,28235,57543,212,13," $1,455.70 "
YG91V,Lotame - Personal Finance - Stocks,300x250,PQIWN3479L,Sign up Now - 10% Off,repairlinkshop.com,Yahoo Exchange,Smartphone,13382,3340,11662,68,1," $1,447.93 "
DY85C,Lotame - Social Media,300x250,PMBNU9714O,Sign up Now - 10% Off,msn.com,Google Ad Manager,Smartphone,554980,323498,467646,1542,8," $1,600.77 "
WB32B,"Lotame - Style, Fashion & Clothing",320x50,NFHGL5241D,Subscribe Today - 10% Discount,rvtrader.com,Google Ad Manager,Smartphone,13168,8527,12625,84,4," $1,639.72 "
NE65H,"Lotame - Style, Fashion & Clothing - Children's Clothing Shoppers",320x50,SHXPR1905B,Sign up Today - 10% Off,lensvid.com,Yieldmo,Smartphone,9014,5054,7227,26,4," $1,539.60 "
QW56P,"Lotame - Style, Fashion & Clothing - Clothing Shoppers",300x250,UALQR9872D,Subscribe Today - 10% Discount,mail.yahoo.com,Index Exchange,Smartphone,19464,11814,17040,68,9," $1,540.47 "
UJ91R,"Lotame - Style, Fashion & Clothing - Men's Clothing Shoppers",320x50,OQHLV3457P,Sign up Today - 10% Off,zone.msn.com,PubMatic,Smartphone,10903,3776,9581,35,2," $1,460.01 "
HI15Q,"Lotame - Style, Fashion & Clothing - Women's Clothing Shoppers",320x50,LTTNB2264R,Subscribe Today - 10% Discount,jdpower.com,Magnite DV+,Smartphone,9040,3585,8450,21,3," $1,473.19 "
ZW11Z,Lotame - Technology,320x50,PSNZO2329S,Subscribe Today - 10% Discount,m.timesofindia.com,Google Ad Manager,Smartphone,9059,589,7480,22,4," $1,908.53 "
QD57R,Lotame - Technology - Electronics & Gadgets,300x250,RLWUO8369C,10% Discount - Ends 6/1,kbb.com,Google Ad Manager,Apple PC,16236,8669,15208,50,11," $1,639.81 "
QM37S,Lotame - Technology - Mobile Phones,300x250,AJJCI3040E,Sign up Today - 10% Off,insider.com,PubMatic,Smartphone,39705,12950,38030,190,3," $1,476.42 "
MR34R,Lotame - Travel - International Travel,300x250,ONCOK8833J,10% Discount - Ends 6/1,eonline.com,Google Ad Manager,Smartphone,13464,1698,11234,84,1," $1,466.29 "
WN47X,Lotame - Travel - Summer Travel,300x250,RSPQE1339C,Sign up Now - 10% Off,ajc.com,Google Ad Manager,Apple PC,16719,9944,15714,35,13," $1,588.65 "
KR64J,Lotame - Travel - Thanksgiving Travel,320x50,MSHHK2719Q,Sign up Now - 10% Off,weather.com,Google Ad Manager,Smartphone,36543,18046,27358,147,6," $1,513.09 "
LQ6L,Lotame - Travel - Winter Holiday Travel,300x250,REODI7132J,Sign up Now - 10% Off,investing.com,Magnite DV+,Apple PC,81486,57653,76803,193,6," $1,463.84 "
HE85E,Media & Entertainment,300x250,GZYUI1052D,Subscribe Today - 10% Discount,yahoo.com,Google Ad Manager,Smartphone,421110,212140,389474,984,4," $1,635.92 "
OB44N,Media and Entertainment,320x50,MANZC3750L,10% Discount - Ends 6/1,weather.com,Google Ad Manager,Smartphone,654902,40733,477114,1874,14," $3,178.61 "
EV32K,Media and Entertainment - Audio and Video Streaming - Streaming Audio,300x250,TEXCP6975A,Sign up Now - 10% Off,cnbc.com,Google Ad Manager,Smartphone,42451,29142,41093,122,7," $1,530.55 "
